label,none,SERRF
CSH_negESI #401,0.798976758511859,0.0493043584602609
CSH_negESI #500,0.226963168776534,0.0656318132613392
CSH_negESI #501,0.286445247944277,0.0258144219724452
CSH_negESI #502,0.270409748327045,0.037612807317669
CSH_negESI #503,0.364605863279026,0.0376785458987211
CSH_negESI #504,0.412234091604291,0.0828231675803673
CSH_negESI #505,0.413051730308732,0.0394872589397004
CSH_negESI #506,0.331643762434593,0.0403337447944743
CSH_negESI #507,0.38403719239047,0.0429115369899955
CSH_negESI #508,0.365154531201027,0.0797406832085689
CSH_negESI #509,0.294890849470445,0.0652967747740252
CSH_negESI #510,0.3572059740174,0.0591043157284641
CSH_negESI #511,0.294688614742011,0.0310378098536646
CSH_negESI #512,0.511633151853262,0.0330921772731168
