label,none,SERRF,none,SERRF
plasmenyl-PC (36:0) [M+HCOO]-,0.482831232,0.069022425,0.484586788,0.056834584
plasmenyl-PC (36:1) [M+HCOO]-,0.242929579,0.073404542,0.298858479,0.052866626
plasmenyl-PC (36:2) [M+HCOO]-,0.260207385,0.086217371,0.283967785,0.118307171
plasmenyl-PC (36:3) [M+HCOO]-,0.248893012,0.053532811,0.241923264,0.07462767
plasmenyl-PC (36:4) [M+HCOO]- ,0.238531061,0.032884042,0.209120133,0.008958763
plasmenyl-PC (38:0) [M+HCOO]-,0.497812875,0.054953061,0.488218862,0.060903191
plasmenyl-PC (38:4) [M+HCOO]- ,0.233765318,0.038885459,0.240318907,0.084245067
plasmenyl-PC (38:5) [M+HCOO]-,0.239989447,0.065466231,0.196217662,0.034164042
plasmenyl-PC (40:1) [M+HCOO]-,0.773456133,0.156136776,0.770085298,0.083036548
plasmenyl-PC (40:4) [M+HCOO]-,0.253163996,0.120613837,0.159195057,0.100520999
plasmenyl-PC (42:4) [M+HCOO]-,0.255558332,0.068239152,0.242508495,0.09660291
plasmenyl-PE (34:1) [M-H]-,0.220370851,0.079582684,0.238474261,0.049054082
plasmenyl-PE (34:2) [M-H]- ,0.202090692,0.064667339,0.173126535,0.022714289
plasmenyl-PE (36:1) [M-H]-,0.212348548,0.104037378,0.057004105,0.106626346
plasmenyl-PE (36:2) [M-H]- ,0.188622939,0.037800732,0.196812376,0.073968083
plasmenyl-PE (36:4) [M-H]- ,0.163889548,0.036443018,0.111662216,0.04958103
plasmenyl-PE (36:5) [M-H]- ,0.233370876,0.114407294,0.247888155,0.064432269
plasmenyl-PE (38:2) [M-H]-,0.31700977,0.131225898,0.192192886,0.104658913
plasmenyl-PE (38:3) [M-H]-,0.296645554,0.116999757,0.250327624,0.18001344
plasmenyl-PE (38:4) [M-H]- ,0.183729715,0.030042715,0.151973607,0.061183857
plasmenyl-PE (38:5) [M-H]- ,0.189204101,0.04096361,0.127175399,0.048477788
plasmenyl-PE (38:6) [M-H]- ,0.144217294,0.045939285,0.182249447,0.030582362
plasmenyl-PE (40:4) [M-H]-,0.234084737,0.089711846,0.256286324,0.092022975
plasmenyl-PE (40:5) [M-H]-,0.223103007,0.143570743,0.294711238,0.118251997
plasmenyl-PE (40:6) [M-H]- ,0.20985983,0.044484304,0.190563519,0.007131913
plasmenyl-PE (40:7) [M-H]-,0.199065014,0.074165337,0.196110077,0.02211823
CSH_negESI #513,0.31333863,0.041059019,0.321395669,0.076985956
CSH_negESI #514,0.295005636,0.036324998,0.312111661,0.076861353
CSH_negESI #515,0.319953801,0.038429556,0.346612935,0.082027439
SM (d32:0) [M+HCOO]-,0.309757495,0.152071569,0.257900749,0.080742595
SM (d32:1) [M+HCOO]-,0.21852751,0.049171348,0.226735203,0.103686881
SM (d32:2) [M+HCOO]-,0.234953517,0.088544012,0.148087884,0.093643526
SM (d33:1) [M+HCOO]-,0.225949123,0.047804711,0.229573899,0.088328392
SM (d34:0) [M+HCOO]-,0.255678588,0.055234181,0.255167554,0.072681827
SM (d34:1) [M+HCOO]-,0.26769465,0.023591581,0.221769528,0.070520075
SM (d34:2) [M+HCOO]-,0.239131962,0.033921352,0.215048249,0.066156923
SM (d36:0) [M+HCOO]-,0.393150082,0.067127623,0.36597503,0.093814137
SM (d36:1) [M+HCOO]- ,0.250069259,0.034644191,0.160961844,0.090081434
SM (d36:2) [M+HCOO]- ,0.293129443,0.048661296,0.31527089,0.04409932
SM (d38:1) [M+HCOO]-,0.237600759,0.040107878,0.238346336,0.06977375
SM (d38:2) [M+HCOO]- ,0.24188878,0.042795838,0.206773537,0.037084315
SM (d40:0) [M+HCOO]-,0.332793652,0.200889973,0.330791679,0.314897737
SM (d40:1) [M+HCOO]-,0.239675213,0.030401906,0.242519797,0.071537007
SM (d40:2) [M-HCOO]- ,0.245809965,0.035004473,0.199572185,0.060929523
SM (d40:3) [M+HCOO]-,0.382280299,0.138183797,0.26798493,0.222450536
SM (d41:1) [M+HCOO]-,0.233557482,0.033870161,0.184353455,0.091249059
SM (d41:2) [M+HCOO]-,0.240412181,0.041167212,0.249843987,0.059540055
SM (d42:1) [M+HCOO]-,0.234178735,0.031658597,0.194447988,0.083457304
SM (d42:2) A [M+HCOO]-,0.250113422,0.028932194,0.245773705,0.07503521
